Valence,Year,Acousticness,Artists,Danceability,Duration,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Name,Popularity,Speechiness,Tempo,Duration_minutes
0.7490000000000001,2020,0.0238,Katy Perry,0.7829999999999999,166898,0.912,No explicit content,0.0,0,0.33899999999999997,-3.713,Major,Smile,73,0.243,98.025,02:46
0.414,2020,0.198,Baby Keem,0.77,156774,0.636,Explicit content,2.92e-06,10,0.115,-7.636,Minor,hooligan,73,0.0901,93.03200000000001,02:36
0.8959999999999999,2020,0.11800000000000001,ZICO,0.8740000000000001,227227,0.787,No explicit content,0.0,10,0.11,-2.416,Minor,Any song,73,0.129,108.007,03:47
0.115,2020,0.0803,"Julie and the Phantoms Cast, Madison Reyes, Charlie Gillespie, Owen Patrick Joyner, Jeremy Shada",0.37,192375,0.618,No explicit content,0.0,5,0.0591,-4.41,Major,"Bright (feat. Madison Reyes, Charlie Gillespie, Owen Patrick Joyner & Jeremy Shada)",73,0.0564,159.122,03:12
0.764,2020,0.0547,"Freddie Gibbs, Hit-Boy, Big Sean",0.813,104912,0.557,Explicit content,0.0,10,0.128,-6.655,Minor,4 Thangs (feat. Big Sean & Hit-Boy),73,0.133,83.012,01:44
0.43,2020,0.203,"iann dior, Lil Baby",0.816,226314,0.579,Explicit content,0.0,1,0.127,-6.097,Major,Prospect (ft. Lil Baby),73,0.0867,120.07799999999999,03:46
0.818,2020,0.0112,Wallows,0.72,193293,0.625,No explicit content,0.0076,7,0.0999,-6.274,Major,OK,73,0.0362,102.006,03:13
0.66,2020,0.0409,Nicki Minaj,0.9109999999999999,156882,0.637,Explicit content,3.68e-05,8,0.23800000000000002,-8.381,Major,Yikes,73,0.447,149.996,02:36
0.35100000000000003,2020,0.106,Lil Mosey,0.853,170809,0.594,Explicit content,0.0,0,0.0885,-6.682,Major,Jumpin Out The Face,73,0.107,90.001,02:50
0.557,2020,0.0919,Polo G,0.807,176575,0.665,Explicit content,0.0,5,0.0788,-5.249,Minor,I Know,73,0.276,164.96400000000003,02:56
0.865,2020,0.18,"Jack Harlow, jetsonmade",0.899,125302,0.691,Explicit content,0.00045099999999999996,0,0.135,-7.5539999999999985,Major,I WANNA SEE SOME ASS (feat. jetsonmade),73,0.0497,107.95100000000001,02:05
0.505,2020,0.0858,Quinn XCII,0.7440000000000001,168987,0.556,No explicit content,0.0,8,0.1,-6.97,Major,Stacy,73,0.0375,105.006,02:48
0.9009999999999999,2020,0.18100000000000002,"TI, Lil Baby",0.955,259958,0.5870000000000001,Explicit content,0.0,10,0.585,-5.894,Minor,Pardon (feat. Lil Baby),72,0.32,111.975,04:19
0.361,2020,0.0821,Sam Smith,0.723,225392,0.653,No explicit content,2.27e-06,4,0.0824,-6.002999999999999,Minor,Dance (‘Til You Love Someone Else),35,0.0614,124.023,03:45
0.381,2020,0.508,Gucci Mane,0.784,280111,0.348,Explicit content,0.0,1,0.154,-15.193,Minor,Go Head,36,0.34299999999999997,87.53399999999998,04:40
0.767,2020,0.14400000000000002,"blackbear, Lauv",0.6659999999999999,186468,0.628,Explicit content,0.0,8,0.18899999999999997,-5.6129999999999995,Major,if i were u (with Lauv),72,0.0623,82.992,03:06
0.355,2020,0.294,"Gucci Mane, The Weeknd",0.76,161990,0.47600000000000003,Explicit content,0.0,8,0.1,-8.103,Major,Curve (feat. The Weeknd),36,0.239,147.075,02:41
0.8190000000000001,2020,0.0617,"Gucci Mane, Pooh Shiesty",0.787,189924,0.6990000000000001,Explicit content,0.0,2,0.192,-7.345,Major,Who Is Him (feat. Pooh Shiesty),37,0.391,145.151,03:09
0.435,2020,0.031,"Gucci Mane, Megan Thee Stallion",0.8270000000000001,128995,0.767,Explicit content,0.0,1,0.113,-3.8930000000000002,Major,Big Booty (feat. Megan Thee Stallion),37,0.21600000000000005,159.975,02:08
0.389,2020,0.0134,"Julie and the Phantoms Cast, Madison Reyes, Charlie Gillespie, Owen Patrick Joyner, Jeremy Shada",0.516,181323,0.7979999999999999,No explicit content,0.0,2,0.0835,-2.411,Minor,"Edge of Great (feat. Madison Reyes, Charlie Gillespie, Owen Patrick Joyner & Jeremy Shada)",72,0.0466,185.91299999999998,03:01
0.812,2020,0.414,Rico Nasty,0.86,120964,0.7170000000000001,Explicit content,0.0,1,0.0843,-5.5420000000000025,Minor,OHFR?,66,0.48,158.019,02:00
0.14,2020,0.00346,"Elevation Worship, Brandon Lake",0.391,452499,0.769,No explicit content,0.0,11,0.9109999999999999,-6.356,Major,Graves Into Gardens (Live),66,0.045,139.874,07:32
0.375,2020,0.38299999999999995,"Gucci Mane, Rocko, Webbie",0.8270000000000001,244640,0.6859999999999999,Explicit content,0.0,0,0.11199999999999999,-5.394,Major,I Don't Love Her (feat. Rocko & Webbie),37,0.188,147.996,04:04
0.21899999999999997,2020,0.0562,"Gunna, Lil Baby",0.889,154667,0.507,Explicit content,0.0,2,0.11599999999999999,-8.74,Major,BLINDFOLD (feat. Lil Baby),66,0.162,111.994,02:34
0.175,2020,0.0741,"Julie and the Phantoms Cast, Madison Reyes, Charlie Gillespie, Owen Patrick Joyner, Jeremy Shada",0.7340000000000001,213145,0.574,No explicit content,0.0,2,0.0849,-5.5760000000000005,Major,"Stand Tall (feat. Madison Reyes, Charlie Gillespie, Owen Patrick Joyner & Jeremy Shada)",72,0.0436,124.054,03:33
0.319,2020,0.0129,"Lil Uzi Vert, Chief Keef",0.733,238816,0.5670000000000001,Explicit content,0.0,0,0.382,-6.718,Major,Bean (Kobe) [feat. Chief Keef],72,0.319,75.491,03:58
0.355,2020,0.0558,Gucci Mane,0.7609999999999999,276907,0.524,Explicit content,0.0,2,0.361,-7.729,Major,Chicken Talk,37,0.161,154.039,04:36
0.767,2020,0.263,Justin Bieber,0.648,200773,0.6809999999999999,No explicit content,0.00783,2,0.0971,-8.389,Minor,Come Around Me,72,0.0378,157.941,03:20
0.171,2020,0.635,Halsey,0.38799999999999996,153089,0.22399999999999998,No explicit content,0.0,11,0.0836,-11.19,Major,More,37,0.12300000000000001,171.835,02:33
0.115,2020,0.11199999999999999,Khalid,0.701,206361,0.396,No explicit content,0.0209,4,0.223,-10.182,Minor,Eleven,72,0.11900000000000001,129.004,03:26
0.0757,2020,0.155,Kodak Black,0.78,203892,0.7120000000000001,No explicit content,0.0,11,0.33399999999999996,-3.6239999999999997,Minor,Remember The Times,35,0.0598,135.009,03:23
0.27,2020,0.225,"Juice WRLD, The Weeknd",0.6940000000000001,196180,0.6709999999999999,No explicit content,0.0,6,0.145,-7.149,Minor,Smile (with The Weeknd),72,0.134,158.864,03:16
0.515,2020,0.000475,Ryan Hurd,0.633,219193,0.732,No explicit content,0.0,0,0.10800000000000001,-6.995,Major,Every Other Memory,73,0.0351,103.01899999999999,03:39
0.365,2020,0.13699999999999998,Halsey,0.6629999999999999,186188,0.531,Explicit content,0.0,7,0.146,-6.3389999999999995,Major,Ashley,35,0.0832,125.01299999999999,03:06
0.187,2020,0.231,Halsey,0.667,181806,0.583,No explicit content,4.48e-05,11,0.18100000000000002,-5.127000000000002,Minor,Graveyard,35,0.0747,92.04299999999999,03:01
0.418,2020,0.0096,Flo Milli,0.919,137362,0.609,Explicit content,0.0,9,0.124,-5.059,Major,In The Party,73,0.262,134.99200000000002,02:17
0.618,2020,0.281,"Gunna, Roddy Ricch",0.8370000000000001,197000,0.586,Explicit content,0.0,11,0.134,-8.521,Minor,COOLER THAN A BITCH (feat. Roddy Ricch),73,0.0807,117.066,03:17
0.349,2020,0.287,Lil Tjay,0.31,177528,0.722,Explicit content,0.0,7,0.345,-5.348,Major,Move On,73,0.0813,86.693,02:57
0.381,2020,0.556,Joji,0.8270000000000001,131719,0.5489999999999999,No explicit content,0.6890000000000001,0,0.124,-8.187999999999999,Minor,NITROUS,73,0.0343,127.992,02:11
