mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,duration,counts
1,modern southern rock,0.15040448863636366,0.5567300505050503,266617.0452020202,0.6921967171717172,0.05213298438383839,0.1862237373737374,-6.965736868686869,0.05692997474747475,116.21466717171715,0.5767674242424243,44.66212121212122,11,04:26,7
1,modern uplift,0.046690909090909095,0.5152727272727272,202718.9090909091,0.8602727272727272,0.0,0.14976363636363638,-3.2061818181818182,0.05884545454545453,148.7606363636364,0.5992727272727274,55.36363636363637,10,03:22,1
1,mongolian hip hop,0.01635,0.7905,145398.5,0.4884999999999999,0.7195,0.3772,-9.4365,0.1845,92.035,0.43485,0.0,10,02:25,1
1,mongolian pop,0.01635,0.7905,145398.5,0.4884999999999999,0.7195,0.3772,-9.4365,0.1845,92.035,0.43485,0.0,10,02:25,1
1,montreal indie,0.2730122222222222,0.7471527777777778,224951.26388888888,0.543875,0.02492716388888889,0.26022222222222224,-8.181902777777777,0.12945833333333331,96.617625,0.4965666666666666,59.08333333333334,7,03:44,1
1,moombahton,0.06991886655701758,0.6611713815789475,243096.3500548245,0.8039730811403509,0.1657671348969298,0.2468139309210527,-4.383256688596491,0.08715808662280702,124.0152114035088,0.5076823793859648,56.27900219298246,1,04:03,6
1,motown,0.4100016359245048,0.5975654217273647,230382.4320512768,0.5350623105267514,0.0355414187178228,0.18386651305577653,-10.489958324622714,0.05480121115356426,117.19668035704828,0.6688394259644839,35.55586858346774,0,03:50,17
1,movie tunes,0.7305327615640866,0.4840912347618555,178866.72533228586,0.3552235843316361,0.06481355774583861,0.21215494612549016,-13.606290402334142,0.09453949029388142,110.80077171449636,0.4846114215693362,43.02015536193107,0,02:58,14
1,mpb,0.5243797469394046,0.5596051333633433,214845.23946780802,0.5153092628191348,0.07673686958333939,0.18871636263459385,-11.270216284845318,0.06430362015437326,116.9322551918486,0.6326844675004244,42.000421778450615,4,03:34,1
1,music box,0.637926923076923,0.5214326923076924,122365.375,0.2592673076923077,0.0441060698076923,0.13391153846153847,-16.015076923076922,0.055855769230769216,99.58547115384614,0.2711980769230769,25.95192307692308,10,02:02,1
1,musica costena,0.2370073333333333,0.7212094444444445,210864.77222222215,0.6235261111111112,0.002694368583333333,0.10689972222222224,-7.310103888888887,0.059518,125.49263611111107,0.8582655555555556,43.79333333333334,2,03:30,2
1,musica de fondo,0.99,0.156,202796.0,0.11,0.991,0.10400000000000001,-24.096999999999998,0.0412,68.262,0.0382,54.0,0,03:22,1
1,musica potosina,0.2572133333333334,0.7318666666666667,184849.33333333328,0.6684333333333333,0.09318109699999999,0.17529333333333336,-5.8159,0.049703333333333335,102.28743333333333,0.8565999999999999,44.5,5,03:04,3
1,musica tradicional cubana,0.7036013457294339,0.6244613897342904,214587.25383443641,0.4693366853477801,0.15823501698580772,0.15967354922078245,-10.825007219922707,0.06111712309281745,113.65495969469723,0.7603687149859943,24.106407291185516,7,03:34,1
1,musical advocacy,0.17724999999999996,0.5615,326663.0,0.561,3.6575e-05,0.08687500000000001,-10.705750000000002,0.040775,93.92075,0.32325,69.75,4,05:26,1
1,naija worship,0.2424541666666667,0.5011666666666666,380208.83333333326,0.6000416666666668,2e-07,0.4597833333333334,-7.110416666666668,0.13753333333333334,100.83879166666668,0.3747750000000001,50.95833333333334,11,06:20,3
1,nantes indie,0.03753333333333333,0.5666666666666667,197542.33333333328,0.8076666666666666,1.5766666666666666e-05,0.5545,-4.171,0.14386666666666667,103.73333333333332,0.32266666666666666,54.0,10,03:17,1
